MonitoringStation,SampleDate,CHLA,SALINITY,TN,TP,WTEMP,DO
CB6.4,11/12/85,5.98,24.26,0.4322,0.044,16.5,7.9
CB6.4,12/9/85,1.12,18.79,0.4703,0.039,9.6,11.2
CB6.4,1/6/86,23.95,20.98,0.5254,0.043,4.8,14.2
CB6.4,2/21/86,5.47,17.95,0.4974,0.026,3.2,10
CB6.4,3/10/86,10.93,18.02,0.7221,0.043,3.1,12.2
CB6.4,3/25/86,14.32,16.52,0.723,0.024,7,10.2
CB6.4,4/8/86,4.91,16.92,0.6818,0.026,11.9,8.4
CB6.4,4/28/86,0.19,18,0.7319,0.028,14.1,8
CB6.4,5/14/86,1.71,20.2,0.5755,0.031,15.5,9.7
CB6.4,5/26/86,4.41,19.3,0.5552,0.026,20.4,8.1
CB6.4,6/10/86,7.03,21.6,0.43375,0.03,23.6,7
CB6.4,6/26/86,6.94,22.4,0.44375,0.033,23.6,6.8
CB6.4,7/14/86,6.84,18.92,0.36375,0.028,29.1,4
CB6.4,8/11/86,4.6,24.9,0.50375,0.053,27,4.5
CB6.4,8/25/86,10.5,23.6,0.51375,0.027,25.1,5.5
CB6.4,10/8/86,1.6,24.6,0.567,0.038,22.7,6.2
CB6.4,10/28/86,16.7,21.5,0.34375,0.02,17.6,5
CB6.4,12/8/86,2.8,23,0.508,0.025,9.6,8.7
CB6.4,1/7/87,16.5,22.6,0.467,0.039,5.9,10.1
CB6.4,2/25/87,14.4,20.2,0.609,0.028,3.3,11.9
CB6.4,3/15/87,13.8,19.4,0.477,0.011,5,11.3
CB6.4,3/23/87,17.9,19.1,0.561,0.019,6.8,11
CB6.4,4/6/87,35.7,19.6,0.52375,0.017,8.4,10.5
CB6.4,4/22/87,55.4,18.3,0.64375,0.025,14.3,9.1
CB6.4,5/6/87,58.5,15.8,0.618,0.038,16.2,9.5
CB6.4,5/18/87,33.6,17.9,0.91375,0.028,20,7.4
CB6.4,6/1/87,17.6,17.98,0.52375,0.023,21.5,6.8
CB6.4,6/15/87,5.2,22.3,0.46375,0.016,22.8,4.4
CB6.4,7/20/87,10.8,20.4,0.54375,0.029,27.7,2.6
CB6.4,8/3/87,16.2,23.6,0.52375,0.045,28.2,3.1
CB6.4,8/17/87,11.7,24.5,0.58375,0.054,27.6,4.2
CB6.4,9/3/87,9,22.3,0.56375,0.023,25.8,5
CB6.4,9/14/87,2.1,21.7,0.393,0.02,25.7,4.7
CB6.4,10/5/87,2.2,23.2,0.416666667,0.043,19.6,7.4
CB6.4,10/23/87,5,23.8,0.57375,0.025,15.5,8.1
CB6.4,1/12/88,7.5,22.5,0.3178,0.009,2.7,10.7
CB6.4,2/22/88,23.2,21.2,0.6639,0.0188,4.4,11.7
CB6.4,3/22/88,1.9,19.5,0.4535,0.01125,6.9,10.6
CB6.4,4/11/88,3.2,19.4,0.409,0.0162,12.2,7.9
CB6.4,5/10/88,5.7,19.9,0.261,0.01325,15.7,8.4
CB6.4,5/24/88,3.2,16.8,0.321,0.009,21.4,3.3
CB6.4,6/7/88,17,16.7,0.324,0.0175,22,5.3
CB6.4,6/20/88,4.9,17.5,0.2715,0.0271,23.9,3.9
CB6.4,7/6/88,5.1,20.4,0.274,0.025,24.8,5.3
CB6.4,7/18/88,5.5,18.5,0.25,0.028,27.6,3.1
CB6.4,8/23/88,11.5,20.5,0.429,0.0328,26.9,3.3
CB6.4,9/9/88,4.7,22.8,0.205,0.0328,22.8,6
CB6.4,9/19/88,4.9,19.4,0.346,0.0336,23.3,4.3
CB6.4,10/3/88,10.4,23,0.339,0.028,22.3,4.9
CB6.4,10/24/88,4,25.1,0.305,0.027,15,7.7
CB6.4,11/7/88,4.9,25.5,0.2515,0.027,13.1,8.4
CB6.4,12/5/88,3.7,24.2,0.354,0.035,9.4,8.6
CB6.4,1/16/89,7.8,21,0.338,0.019,5.2,11.1
CB6.4,2/13/89,3.6,21.5,0.303,0.023,4.8,10.8
CB6.4,3/13/89,3.4,22.2,0.3575,0.022,4.2,11
CB6.4,4/3/89,5,22.2,0.394,0.01175,9.5,10.1
CB6.4,4/17/89,3.4,20.6,0.2835,0.016,12.9,8.2
CB6.4,5/3/89,3.6,18.6,0.447,0.01325,16.9,7.9
CB6.4,5/18/89,3.1,19.1,0.47,0.016,16.8,7
CB6.4,6/12/89,4.5,17.6,0.367,0.025,23.8,4.2
CB6.4,6/27/89,7.2,16.8,0.399,0.029,27,3.3
CB6.4,7/11/89,11.5,14.4,0.593,0.039,27.9,2.8
CB6.4,7/24/89,9.6,14.9,0.616,0.041,27.7,3.1
CB6.4,8/15/89,22.6,14.7,0.434,0.062,25.4,2.4
CB6.4,8/29/89,13.3,18.3,0.478,0.042,25.5,3.1
CB6.4,9/11/89,7.3,16.7,0.419,0.031,25.5,1.8
CB6.4,9/28/89,6.2,21.3,0.448,0.047,22,6.4
CB6.4,11/13/89,9.1,20.6,0.401,0.029,15.7,7.9
CB6.4,12/14/89,5.7,19.1,0.501,0.034,5.1,9.9
CB6.4,1/9/90,8.8,18.1,0.37,0.023,2,11.4
CB6.4,2/6/90,12.2,20.1,0.357,0.024,6.2,9.9
CB6.4,3/5/90,17.1,15.6,0.358,0.021,7,9.7
CB6.4,5/31/90,7.1,16.8,0.365,0.02,19,7
CB6.4,7/17/90,11.5,17.9,0.41,0.035,26.9,4.3
CB6.4,8/14/90,9.9,17.6,0.413,0.03,27.1,4
CB6.4,8/28/90,8.2,16.9,0.369,0.032,27.2,1.8
CB6.4,9/11/90,8.5,18.7,0.38,0.035,25.7,5.3
CB6.4,9/24/90,5.9,21.3,0.389,0.041,21.9,6.4
CB6.4,10/15/90,3.6,21.8,0.361,0.02625,23.1,6
CB6.4,11/16/90,10.7,21.3,0.355,0.017,13.2,8.4
CB6.4,1/14/91,12.7,16.2,0.471,0.017,6.4,8.9
CB6.4,2/13/91,11.5,16.7,0.49,0.015,6.2,10
CB6.4,3/13/91,4.2,18.2,0.488,0.017,7.3,9.5
CB6.4,4/23/91,3.9,15.9,0.566,0.016,13.7,7.9
CB6.4,5/8/91,3.2,16.3,0.534,0.01125,19.3,6.5
CB6.4,6/6/91,13.4,17.3,0.515,0.028,24,7.3
CB6.4,6/18/91,6.5,20.8,0.303,0.027,25,4.9
CB6.4,7/11/91,7,20.5,0.318,0.029,26.7,3.5
CB6.4,7/23/91,7.6,21.4,0.4,0.021,29.4,2.7
CB6.4,8/6/91,4.5,20,0.394,0.029,27.6,3.1
CB6.4,8/21/91,0.5,22.1,0.425,0.045,26.1,4.4
CB6.4,9/4/91,0.7,22.3,0.487,0.033,25.1,7
CB6.4,10/21/91,7,24.4,0.322,0.03,16.8,7.5
CB6.4,12/6/91,3.3,25,0.263,0.028,9.7,8.4
CB6.4,1/22/92,4.2,23.4,0.336,0.025,5.1,10.3
CB6.4,2/11/92,1.9,22.4,0.222,0.01275,3.8,11
CB6.4,3/10/92,2.8,23.1,0.307,0.009,8.6,9.6
CB6.4,4/14/92,5.4,21.5,0.36,0.015,10.9,9.5
CB6.4,4/27/92,2.9,20.3,0.369,0.03425,14.5,7.4
CB6.4,5/11/92,5.4,18,0.479,0.02,15.9,7
CB6.4,5/27/92,19.4,18.8,0.4,0.02,17.8,6
CB6.4,6/8/92,5.2,18.6,0.278,0.018,22.6,6.4
CB6.4,7/6/92,10.7,21.5,0.499,0.045,24.3,5.2
CB6.4,8/10/92,9.1,21.2,0.437,0.03,26.2,4.3
CB6.4,8/24/92,4.9,18.8,0.425,0.04,25.2,1.5
CB6.4,9/8/92,7.5,20.7,0.429,0.031,25.1,3.8
CB6.4,9/21/92,3.3,23,0.367,0.033,24.2,4.6
CB6.4,11/17/92,5.9,23,0.274,0.025,11.8,7.6
CB6.4,12/16/92,2.6,20.2,0.394,0.026,7.1,9.7
CB6.4,1/6/93,6.4,18.2,0.358,0.025,6.6,13.3
CB6.4,3/12/93,18.5,18.5,0.505,0.017,5.2,10.2
CB6.4,4/14/93,26.6,14.5,0.744,0.01675,10.7,9.4
CB6.4,4/29/93,11,15.7,0.691,0.027,12.1,7.5
CB6.4,5/10/93,5.7,13.2,0.567,0.018,18.7,7
CB6.4,6/29/93,8.5,19.6,0.356,0.055,24.4,5
CB6.4,7/12/93,6.3,15.8,0.542,0.038,29.5,3.8
CB6.4,7/27/93,11.1,21.1,0.659,0.039,25.6,4.3
CB6.4,8/9/93,7.3,19.6,0.487,0.029,26.1,4
CB6.4,8/23/93,3.8,21,0.46,0.026,26.3,4.4
CB6.4,9/15/93,3.6,25,0.422,0.039,24.3,6.2
CB6.4,9/29/93,5.9,23.9,0.412,0.027,22.1,5.8
CB6.4,10/13/93,2.3,23.2,0.377,0.027,17.8,6.7
CB6.4,12/6/93,3,24.3,0.386,0.025,11.1,8.2
CB6.4,1/6/94,9.5,18.8,0.449,0.016,4.3,10.2
CB6.4,2/7/94,5.9,20.6,0.438,0.015,2.1,11.9
CB6.4,3/7/94,8,17.5,0.519,0.014,5.4,10.9
CB6.4,4/5/94,20.4,14.1,0.615,0.021,10.2,10.8
CB6.4,4/18/94,9,11,0.822,0.01175,14.7,9.4
CB6.4,5/9/94,4.1,12,0.832,0.01275,15.6,7.2
CB6.4,5/24/94,2.2,11.8,0.784,0.01075,18,6.6
CB6.4,6/13/94,8.3,16.4,0.516,0.01975,23.5,5
CB6.4,6/30/94,7.9,20.6,0.481,0.034,24.7,5.2
CB6.4,7/13/94,9.1,18,0.594,0.042,26.4,3.5
CB6.4,7/27/94,10.6,21.7,0.515,0.04,25.5,4.2
CB6.4,8/29/94,6.9,18.8,0.432,0.032,25.4,3.2
CB6.4,9/12/94,6.5,17.3,0.545,0.03,23.2,4.8
CB6.4,9/26/94,4.6,19.8,0.318,0.026,22.9,3.7
CB6.4,11/14/94,4.1,21.7,0.393,0.026,14.8,7.2
CB6.4,2/14/95,7.3,21.4,0.411,0.04,2.7,11.3
CB6.4,3/6/95,3.5,20.2,0.331,0.01325,5.6,10
CB6.4,4/11/95,2.5,21.6,0.342,0.01575,11.6,8.9
CB6.4,4/25/95,2.8,22,0.303,0.016,13.9,7.5
CB6.4,5/9/95,2.4,20,0.43,0.019,16.6,7.8
CB6.4,6/8/95,10.2,20.2,0.476,0.032,23.2,4.9
CB6.4,6/19/95,6.5,20.7,0.499,0.039,23.5,6.2
CB6.4,7/10/95,8.9,19.4,0.553,0.047,26.4,5.5
CB6.4,7/25/95,8.8,20.2,0.504,0.038,29.7,1.7
CB6.4,9/5/95,1.7,22.4,0.334,0.023,26.2,5.4
CB6.4,9/21/95,7.5,23.6,0.315,0.027,23.8,4.8
CB6.4,10/18/95,4,25.9,0.371,0.023,20.5,6.6
CB6.4,11/13/95,2.7,26.7,0.429,0.02,13.4,8.2
CB6.4,12/12/95,5.4,24.3,0.36,0.021,6.4,10.1
CB6.4,1/23/96,6.7,20.6,0.445,0.022,2,12.3
CB6.4,2/13/96,6.3,14,0.653,0.021,1.2,11.5
CB6.4,6/12/96,7,16.9,0.54,0.03,22,6.2
CB6.4,7/9/96,9.6,20,0.554,0.06,24.9,4.8
CB6.4,7/24/96,13.4,17.2,0.462,0.036,25.6,4
CB6.4,8/26/96,9.1,17.6,0.418,0.039,26.7,2.6
CB6.4,9/9/96,13,18.9,0.459,0.078,25.9,5
CB6.4,10/10/96,8.9,17.1,0.459,0.035,18.1,7.2
CB6.4,11/20/96,5.9,14.4,0.41,0.02,11.1,8.7
CB6.4,12/11/96,6.2,17.2,0.407,0.034,7.7,10.2
CB6.4,1/14/97,18.7,15.2,0.574,0.036,5.6,9.5
CB6.4,2/10/97,19.6,13,0.645,0.029,3.9,10.4
CB6.4,3/4/97,15.7,13.8,0.554,0.02,7.6,10.2
CB6.4,4/4/97,50.5,13.8,0.627,0.036,10.7,9.3
CB6.4,5/14/97,0.7,16.59,0.511,0.017,16.2,7.2
CB6.4,6/11/97,4.9,15.26,0.469,0.0165,20,5.4
CB6.4,7/15/97,7,20.06,0.501,0.0356,27.5,3.1
CB6.4,7/31/97,9.1,18.53,0.434,0.0332,25.9,3
CB6.4,8/12/97,3.5,18.68,0.351,0.0218,26.9,4.4
CB6.4,8/25/97,3.6,21.12,0.347,0.0357,25.9,5.7
CB6.4,9/8/97,7.6,22.43,0.427,0.0612,24.2,5.2
CB6.4,10/13/97,5.6,22.72,0.452,0.0325,21.5,6.2
CB6.4,11/17/97,7.7,22.9,0.359,0.025,11.8,10.3
CB6.4,12/8/97,2,21.01,0.332,0.0197,8.1,9.9
CB6.4,1/12/98,2.0826,20.95,0.247,0.0107,7.26,10.6
CB6.4,2/9/98,10.146,16.47,0.451,0.0233,5.65,10.7
CB6.4,3/23/98,22.428,14.45,0.523,0.0231,7.92,9.1
CB6.4,4/6/98,4.2987,15.43,0.461,0.0196,10.95,8.6
CB6.4,6/1/98,6.497,14.05,0.457,0.0262,21.8,6.1
CB6.4,7/6/98,10.2884,16.13,0.528,0.0391,25.86,2.8
CB6.4,7/20/98,10.2528,17.45,0.508,0.0305,26.11,3.9
CB6.4,8/6/98,7.2891,18.05,0.438,0.0361,25.32,5.5
CB6.4,8/17/98,7.1556,19.2,0.371,0.0293,26.83,4.9
CB6.4,9/1/98,8.01,20.27,0.398,0.0297,27.53,4.42
CB6.4,10/12/98,4.5479,22.34,0.421,0.03,20.87,6.72
CB6.4,11/16/98,4.6102,23.04,0.426,0.0157,13.32,9.36
CB6.4,12/17/98,3.24405,22.42,0.314,0.0194,10.97,8.8
CB6.4,1/11/99,4.5123,23.78,0.276,0.0242,4.46,11.28074
CB6.4,2/8/99,2.0559,21.38398,0.274,0.0138,6.86,9.95
CB6.4,3/16/99,3.67125,20.64,0.309,0.0187,5.22,12.08
CB6.4,4/12/99,4.806,19.6,0.342,0.0162,12.09,11.09
CB6.4,5/12/99,4.005,17.47,0.333,0.0135,18.44,6.2
CB6.4,6/14/99,4.895,18.92,0.407,0.0265,23.12,5.47
CB6.4,7/6/99,8.6775,22.41,0.471,0.0373,26.64,3.23
CB6.4,7/19/99,6.408,21.61,0.412,0.0201,26.49,1.63
CB6.4,8/3/99,7.00875,22.42,0.391,0.0326,28.04,6.29
CB6.4,8/16/99,9.01125,24.1,0.351,0.0326,27.38,5.74
CB6.4,9/24/99,7.00875,23.1,0.372,0.0299,21.19,7.46
CB6.4,10/4/99,4.272,23.66,0.302,0.0234,21.39,7.04
CB6.4,11/1/99,7.476,22.31,0.379,0.019,16.64,7.86
CB6.4,12/13/99,3.204,23.18,0.248,0.0096,9.55,9.43
CB6.4,2/16/00,3.738,21.51,0.322,0.0178,3.35,11.49
CB6.4,3/14/00,4.1652,21.52,0.326,0.0118,8.93,10.29
CB6.4,4/24/00,12.282,17.69,0.386,0.012,14.13,7.74
CB6.4,5/26/00,11.214,15.7,0.521,0.0198,21.14,7.47
CB6.4,6/12/00,7.209,18.45,0.43,0.0212,22.6,4.09
CB6.4,7/14/00,10.146,18.68,0.5007,0.0404,25.65,2.67
CB6.4,7/28/00,12.816,17.5,0.4558,0.0263,25,4.597
CB6.4,8/7/00,10.0392,21.26,0.4215,0.037,25.87,6.54
CB6.4,8/25/00,8.1168,17.85,0.4441,0.029,25.11,4.36
CB6.4,9/14/00,6.6216,19.85,0.4295,0.0274,24.71,5.08
CB6.4,10/10/00,4.0584,21.13,0.3944,0.0297,18.15,7.205
CB6.4,11/13/00,2.9904,22.45,0.3883,0.0241,14.47,8.38
CB6.4,12/14/00,4.5924,23.45,0.3762,0.0242,6.48,10.29
CB6.4,1/8/01,2.2428,22.37,0.282,0.0111,2.55,11.54
CB6.4,2/15/01,2.67,22.26,0.2659,0.0119,4.98,11.15
CB6.4,3/23/01,2.8836,21.49,0.284,0.0144,8.15,10.59
CB6.4,4/2/01,2.2428,21.61,0.2975,0.015,8.51,10.4
CB6.4,5/10/01,8.01,19.16,0.4085,0.0223,17.07,7.98
CB6.4,6/13/01,6.408,16.8,0.5958,0.035,25.17,4.66
CB6.4,7/12/01,8.277,20.49,0.5448,0.0334,25.84,6.272
CB6.4,7/23/01,5.5536,19.89,0.3737,0.0255,26.31,7.844
CB6.4,8/13/01,6.5148,22.53,0.4411,0.0286,26.39,3.92
CB6.4,8/29/01,5.7672,20.96,0.3706,0.0266,26.6,4.73
CB6.4,9/10/01,7.6896,22.82,0.3971,0.0281,25.49,5.86
CB6.4,10/15/01,3.4176,25.42,0.3102,0.0262,18.4,7.93
CB6.4,11/14/01,1.9224,24.95,0.3063,0.0172,13.47,9.02
CB6.4,1/16/02,4.272,25.26,0.2596,0.0142,5.56,11.75
CB6.4,2/15/02,1.8156,24.52,0.265,0.014,6.79,10.6
CB6.4,3/14/02,1.2816,24.61,0.2688,0.0119,9.61,9.986
CB6.4,5/1/02,4.6725,23.78,0.3581,0.0196,16.89,8.66
CB6.4,5/23/02,5.4735,23.14,0.3947,0.0273,18.1,8.39
CB6.4,6/17/02,6.8085,18.64,0.5853,0.0294,25.77,5.616
CB6.4,7/15/02,3.8715,21.26,0.4058,0.0217,27.56,6.08
CB6.4,7/26/02,10.146,24.03,0.4367,0.0354,26.31,5.95
CB6.4,8/14/02,5.34,26.41,0.3316,0.0317,26.55,7.53
CB6.4,8/27/02,6.8085,23.72,0.3834,0.0349,27.01,5.429
CB6.4,9/19/02,5.9808,24.94,0.367,0.0319,25.31,5.19
CB6.4,10/23/02,4.806,25.2,0.2871,0.0144,18.68,8.01
CB6.4,1/16/03,3.6312,19.54,0.3914,0.0106,4.3,10.6
CB6.4,2/14/03,6.5148,17.63,0.5019,0.0125,2.01,12.53
CB6.4,3/13/03,8.7576,15.93,0.5643,0.0106,4.88,9.8
CB6.4,4/22/03,43.3875,14.45,0.6154,0.0169,11.95,9.82
CB6.4,5/7/03,3.8715,14.43,0.5987,0.0156,16.11,7.24
CB6.4,6/19/03,19.68172,15.79,0.5074,0.0319,22.69,4.47
CB6.4,7/9/03,17.7288,13.38,0.7168,0.058,27.4,0.56
CB6.4,8/4/03,20.826,18.64,0.5609,0.0321,26.06,3.83
CB6.4,8/20/03,11.3475,16.39,0.4605,0.0329,26.65,5.35
CB6.4,9/25/03,16.376,18.69,0.5436,0.0371,23.98,7.22
CB6.4,10/24/03,11.748,18.39,0.4148,0.025,16.97,8.03
CB6.4,11/18/03,6.5415,18.58,0.3984,0.0177,13.49,6.94
CB6.4,12/17/03,32.307,16.43,0.402,0.0176,7.37,10.34
CB6.4,1/12/04,20.13943,16.45,0.4809,0.0214,4.7,10.74
CB6.4,3/24/04,5.4735,17.79,0.5211,0.0161,7.32,10.56
CB6.4,4/14/04,10.8135,16.02,0.6308,0.0103,9.85,9.59
CB6.4,5/12/04,5.18743,15.64,0.5592,0.0107,18.62,7.41
CB6.4,6/9/04,13.528,16.06,0.5031,0.0266,23.17,4.436
CB6.4,6/23/04,14.3112,17.09,0.6375,0.0383,25.03,3.64
CB6.4,7/8/04,10.8936,19.33,0.5692,0.0332,26.02,4.8
CB6.4,7/21/04,8.722,17.24,0.4853,0.0243,27.51,3.37
CB6.4,8/12/04,8.544,18.94,0.4327,0.0285,25.66,4.29
CB6.4,8/25/04,12.994,18.98,0.4547,0.0318,25.3,5.82
CB6.4,9/10/04,16.4205,18.21,0.4589,0.0304,25.59,6.233
CB6.4,9/24/04,6.8085,17.79,0.4117,0.0272,22.86,7.85
CB6.4,10/14/04,8.277,16.35,0.3895,0.0243,19.5,6.41
CB6.4,11/16/04,8.277,16.14,0.4281,0.0189,11.93,8.56
CB6.4,12/10/04,6.942,17.96,0.4055,0.0112,11.74,8.6
CB6.4,1/11/05,7.743,14.68,0.4386,0.0111,6.22,10.63
CB6.4,2/16/05,9.345,15.29,0.6335,0.0144,4.35,12.15
CB6.4,3/16/05,6.675,16.38,0.4426,0.0101,5.66,11.69
CB6.4,4/11/05,40.228,14.41,0.5661,0.024,10.67,11.87
CB6.4,5/11/05,16.93543,15.45,0.4427,0.0176,15.13,7.93
CB6.4,6/15/05,6.25543,18.01,0.3753,0.018,24.64,5.52
CB6.4,7/15/05,12.549,18.52,0.4834,0.0332,26.99,3.52
CB6.4,7/27/05,9.79,18.91,0.491,0.0314,29.27,3.76
CB6.4,8/10/05,9.76457,18.5,0.4112,0.0277,27.57,2.53
CB6.4,8/24/05,5.607,19.62,0.4164,0.0281,27.19,4.38
CB6.4,9/20/05,7.6095,21.56,0.4286,0.0266,26.37,6.31
CB6.4,11/28/05,9.45943,22.42,0.388,0.0279,11.77,9.14
CB6.4,12/16/05,5.874,21.48,0.4019,0.0219,7.5,10.51
CB6.4,1/19/06,9.8256,17.87,0.505,0.0239,6.48,10.31
CB6.4,3/8/06,11.214,17.42,0.4242,0.016,6.15,10.63
CB6.4,4/6/06,1.958,18.91,0.3479,0.0137,12.25,9.16
CB6.4,5/24/06,6.764,18.54,0.4341,0.0247,19.64,6.77
CB6.4,6/7/06,6.586,22.24,0.3945,0.0222,22.28,5.77
CB6.4,6/20/06,7.654,20.27,0.4105,0.0234,24.57,5.799
CB6.4,7/12/06,9.79,20.47,0.4815,0.0302,24.77,4.59
CB6.4,7/26/06,6.586,20.79,0.4086,0.0205,26.16,4.21
CB6.4,8/17/06,7.12,22.28,0.3067,0.0256,25.99,5.39
CB6.4,8/30/06,5.518,23.72,0.3327,0.0297,26.96,5.05
CB6.4,9/19/06,8.188,19.83,0.436,0.0258,24.16,5.19
CB6.4,11/17/06,7.476,20.92,0.3489,0.0218,14.26,8.23
CB6.4,12/11/06,4.984,18.8,0.3917,0.0153,9.43,9.92
CB6.4,1/11/07,8.277,18.6,0.3526,0.0108,8.9,10.68
CB6.4,2/12/07,6.408,17.41,0.3678,0.0119,3.64,10.38
CB6.4,3/14/07,8.4105,17.16,0.4163,0.0136,6.78,9.68
CB6.4,4/19/07,12.638,18.35,0.4287,0.0201,10.53,8.78
CB6.4,5/12/07,6.408,14.46,0.4753,0.0208,17.85,7.26
CB6.4,6/7/07,5.874,19.02,0.3997,0.0162,22.6,5.13
CB6.4,6/20/07,9.078,19.42,0.4046,0.0254,24.55,4.86
CB6.4,7/11/07,8.01,20.87,0.417,0.0237,25.78,5
CB6.4,7/26/07,6.408,19.44,0.4267,0.0238,25.98,4.32
CB6.4,8/8/07,5.874,23,0.3149,0.0229,27.89,5.37
CB6.4,8/23/07,10.413,21.72,0.3955,0.0296,26.36,3.83
CB6.4,9/24/07,10.8135,21.88,0.3852,0.0242,24.3,6.45
CB6.4,10/17/07,10.0392,24.42,0.3215,0.0236,21.66,6.99
CB6.4,11/14/07,6.7284,24.11,0.4248,0.0166,14.23,8.07
CB6.4,1/23/08,4.1385,22.36,0.3405,0.0173,5.6,11.48
CB6.4,2/25/08,2.61067,21.21,0.3189,0.0148,6.24,9.34
CB6.4,4/24/08,7.35733,15.21,0.4742,0.0127,15.7,9.11
CB6.4,5/15/08,5.2065,16.11,0.4298,0.0158,18.02,7.12
CB6.4,6/12/08,5.874,14.51,0.4798,0.0193,25.33,3.82
CB6.4,7/10/08,8.4105,22.16,0.4126,0.0383,23.92,5.42
CB6.4,7/22/08,7.8765,19.98,0.4937,0.0292,28.85,4.51
CB6.4,8/13/08,8.08629,18.12,0.4271,0.0294,25.44,5.88
CB6.4,9/2/08,4.806,20.52,0.393,0.0267,25.21,5.48
CB6.4,9/29/08,7.832,20.16,0.4276,0.0238,21.67,5.71
CB6.4,10/31/08,8.4105,23.97,0.3601,0.0256,13.98,8.33
CB6.4,11/17/08,4.806,23.96,0.2977,0.0168,13.13,8.58
CB6.4,12/18/08,6.1944,23.93,0.3398,0.0126,7.77,9.95
CB6.4,1/13/09,5.49257,23.53,0.3357,0.0158,5.96,9.83
CB6.4,2/10/09,3.3375,21.8,0.2902,0.0116,3.83,11.26
CB6.4,3/23/09,4.1652,18.58,0.3463,0.0056,7.7,11.04
CB6.4,4/13/09,7.743,21.43,0.3278,0.0161,11.37,9.28
CB6.4,5/14/09,6.408,19.08,0.3973,0.0157,18.48,7.78
CB6.4,6/2/09,4.4055,19.61,0.3741,0.0167,23.03,5.91
CB6.4,7/15/09,10.98514,19.69,0.4872,0.0313,26.06,6.83
CB6.4,7/29/09,7.62857,22.05,0.3961,0.0304,26.35,4.22
CB6.4,8/12/09,5.874,19.32,0.4054,0.0219,28.1,3.48
CB6.4,8/25/09,9.00171,21.63,0.3607,0.0374,27.58,6.42
CB6.4,9/15/09,8.9445,19.2,0.4151,0.0275,23.49,6.45
CB6.4,10/29/09,4.0584,22.55,0.3427,0.0229,16.48,8.21
CB6.4,11/16/09,10.4664,19.01,0.3974,0.0275,13.89,8.54
CB6.4,12/7/09,7.3425,21.13,0.3918,0.0206,10.74,9.29
CB6.4,1/13/10,18.156,18.8,0.4545,0.026,2.06,12.76
CB6.4,2/9/10,11.8815,14.45,0.4475,0.01395,1.93,12.79
CB6.4,3/18/10,8.3304,14.68,0.5142,0.00845,7.39,11.76
CB6.4,4/12/10,5.49257,15.35,0.5394,0.0108,14.46,9.79
CB6.4,5/14/10,14.952,16.99,0.4408,0.0148,17.63,7.47
CB6.4,6/4/10,6.408,17.53,0.3389,0.0169,24.4,3.44
CB6.4,6/23/10,21.538,17.81,0.5419,0.0416,27.68,3.87
CB6.4,7/14/10,10.8135,22.54,0.4099,0.0381,26.18,4.99
CB6.4,8/3/10,8.544,20.58,0.4308,0.0316,26.94,5.94
CB6.4,9/23/10,5.4468,21.9,0.4033,0.0298,24,6.07
CB6.4,10/20/10,13.083,22.92,0.3674,0.0253,18.53,8.33
CB6.4,11/16/10,3.5244,21.8,0.3426,0.0142,13.14,8.49
CB6.4,12/17/10,5.874,22.98,0.3778,0.0172,4.93,10.67
CB6.4,1/10/11,3.8448,20.62,0.2908,0.0104,1.77,12.35
CB6.4,2/9/11,3.9516,21,0.2816,0.0135,3.09,12.37
